Show_ID,Performing,date,time,genre,venue,city,state,long,lat
260,The Vandals 28th Annual Christmas Formal,2023-12-23,19:00:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",House of Blues Anaheim,Anaheim,CA,-117.9229975,33.8095868
261,Living Legends w/ Brother Ali,2023-12-23,20:00:00,"{'id': 'KnvZfZ7vAvl', 'name': 'Other'}",The Fonda Theatre,Los Angeles,CA,-118.326897,34.0998
262,Arturo Sandoval,2023-12-23,20:00:00,"{'id': 'KnvZfZ7vAvd', 'name': 'Blues'}",Walt Disney Concert Hall,Los Angeles,CA,-118.287804,34.003101
263,Katharine McPhee & Take 6 Holiday Concert w/ Pacific Jazz Orchestra,2023-12-23,20:00:00,"{'id': 'KnvZfZ7vAvE', 'name': 'Jazz'}",Alex Theatre,Glendale,CA,-118.25456238,34.14879227
264,Boogie Knights,2023-12-23,21:00:00,"{'id': 'KnvZfZ7vAev', 'name': 'Pop'}",Canyon Club-CA,Agoura Hills,CA,-118.762497,34.140301
265,Parliament Funkadelic w/ George Clinton,2023-12-23,21:00:00,"{'id': 'KnvZfZ7vAee', 'name': 'R&B'}",Ventura Music Hall,Ventura,CA,-119.330399,34.348801
266,DJ Johnny,2023-12-23,22:00:00,"{'id': 'KnvZfZ7vAvl', 'name': 'Other'}",Copper Blues Oxnard Resturant,Oxnard,CA,-119.176274,34.240229
267,The Mark Wood TSO Experience,2023-12-27,19:30:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",City National Grove of Anaheim,Anaheim,CA,-117.88624041,33.80303485
268,TOArts & Nederlander present Straight No Chaser - Sleighin' It Tour,2023-12-27,19:30:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}","Fred Kavli Theatre- B of A Performing Arts Center,Thousand Oaks",Thousand Oaks,CA,-118.849491,34.175071
269,Heart,2023-12-27,20:00:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",Yaamava' Resort & Casino at San Manuel,Highland,CA,-117.153198,34.1353
