Show_ID,Performing,date,time,genre,venue,city,state,long,lat
64,Stephen Sanchez,2023-12-16,20:00:00,Other,The Eastern-GA,Atlanta,GA,-84.332802,33.7136
65,The Minks,2023-12-16,20:00:00,Undefined,Vinyl,Atlanta,GA,-84.3877907,33.7918926
66,Jungle Bells 2023: 25th Anniversary | 18+,2023-12-16,20:00:00,Hip-Hop/Rap,The Masquerade Music Park,Atlanta,GA,-84.36556265,33.77108082
67,MIXTAPE: That's My Jam! Tour,2023-12-16,20:00:00,Rock,Buckhead Theatre,Atlanta,GA,-84.3795437,33.8402272
68,Yacht Rock Revue - Yacht Rock Holiday Special,2023-12-16,20:00:00,Rock,Coca-Cola Roxy,Atlanta,GA,-84.469717,33.89024
69,Walker and Royce,2023-12-16,22:00:00,Other,Believe Music Hall,Atlanta,GA,-84.375397,33.744301
70,Ricky Skaggs,2023-12-17,18:00:00,Country,The Eastern-GA,Atlanta,GA,-84.332802,33.7136
71,Holiday Hootenanny,2023-12-17,19:00:00,Country,Variety Playhouse,Atlanta,GA,-84.334602,33.770199
72,Steve Miller Band w/ Samantha Fish,2023-12-17,19:00:00,Rock,Fox Theatre - Atlanta,Atlanta,GA,-84.377403,33.7714
73,John Berry,2023-12-17,19:00:00,Other,Classic Center Theatre,Athens,GA,-83.347504,34.005199
74,Odie Leigh,2023-12-17,19:00:00,Folk,The Masquerade - Purgatory,Atlanta,GA,-84.389887,33.75184
75,One Night of Tina: A Tina Turner Tribute Show,2023-12-17,19:30:00,Rock,Buckhead Theatre,Atlanta,GA,-84.3795437,33.8402272
76,Agnostic Front,2023-12-18,19:00:00,Rock,The Masquerade - Hell,Atlanta,GA,-84.389887,33.75184
77,Dogstar,2023-12-19,20:00:00,Rock,Center Stage Theater,Atlanta,GA,-84.3877907,33.7918926
78,Samara Joy: A Joyful Holiday,2023-12-19,20:00:00,Jazz,Atlanta Symphony Hall,Atlanta,GA,-84.385493,33.790098
79,John Driskell Hopkins' Sounds of The Season,2023-12-20,20:00:00,Country,Buckhead Theatre,Atlanta,GA,-84.3795437,33.8402272
80,Gregory Porter,2023-12-21,20:00:00,Blues,Fox Theatre - Atlanta,Atlanta,GA,-84.377403,33.7714
81,Sonny & THE7EVENTHTIME Album Release Party,2023-12-21,20:00:00,R&B,The Loft,Atlanta,GA,-84.3877907,33.7918926
82,Celtic Woman: A Christmas Symphony,2023-12-21,20:00:00,World,Atlanta Symphony Hall,Atlanta,GA,-84.385493,33.790098
83,5TH AMNDMNT: ATL Featuring Homixide Gang,2023-12-22,19:00:00,Hip-Hop/Rap,The Masquerade - Heaven,Atlanta,GA,-84.389681,33.751769
84,The Spinners,2023-12-22,20:00:00,Country,The Eastern-GA,Atlanta,GA,-84.332802,33.7136
85,Teddy Swims - Kegsmas 2023,2023-12-22,20:00:00,Pop,Buckhead Theatre,Atlanta,GA,-84.3795437,33.8402272
86,Celtic Woman: A Christmas Symphony,2023-12-22,20:00:00,World,Atlanta Symphony Hall,Atlanta,GA,-84.385493,33.790098
87,ATL Collective,2023-12-22,20:30:00,Undefined,Vinyl,Atlanta,GA,-84.3877907,33.7918926
88,Lil Baby & Friends,2023-12-27,19:00:00,Hip-Hop/Rap,State Farm Arena,Atlanta,GA,-84.394569,33.757796
89,T.I.-A Night celebrating 20 years of Trap Muzik ,2023-12-28,20:00:00,Hip-Hop/Rap,Atlanta Symphony Hall,Atlanta,GA,-84.385493,33.790098
90,lunar vacation,2023-12-29,19:00:00,Pop,The Masquerade - Hell,Atlanta,GA,-84.389887,33.75184
91,Sound Tribe Sector 9,2023-12-29,20:00:00,Dance/Electronic,The Eastern-GA,Atlanta,GA,-84.332802,33.7136
92,Widespread Panic,2023-12-29,20:00:00,Blues,Fox Theatre - Atlanta,Atlanta,GA,-84.377403,33.7714
93,SaxKixAve & 12Eleven,2023-12-29,20:00:00,Hip-Hop/Rap,Vinyl,Atlanta,GA,-84.3877907,33.7918926
94,T.I.-A Night celebrating 20 years of Trap Muzik ,2023-12-29,20:00:00,Hip-Hop/Rap,Atlanta Symphony Hall,Atlanta,GA,-84.385493,33.790098
95,Bee Gees Gold Tribute to The Bee Gees,2023-12-29,20:00:00,Undefined,Gas South Theater,Duluth,GA,-84.0907288,33.9869191
96,Mother's Finest,2023-12-29,20:00:00,Rock,Buckhead Theatre,Atlanta,GA,-84.3795437,33.8402272
97,Blackberry Smoke,2023-12-30,19:00:00,Country,Anderson Music Hall - Georgia Mountain Fairgrounds,Hiawassee,GA,-83.709396,34.907799
98,Sound Tribe Sector 9,2023-12-30,20:00:00,Dance/Electronic,The Eastern-GA,Atlanta,GA,-84.332802,33.7136
99,Widespread Panic,2023-12-30,20:00:00,Blues,Fox Theatre - Atlanta,Atlanta,GA,-84.377403,33.7714
100,Charlie Wilson,2023-12-30,20:00:00,R&B,Cobb Energy Performing Arts Centre,Atlanta,GA,-84.4583631,33.8844269
101,Daily Bread,2023-12-30,21:00:00,Other,Variety Playhouse,Atlanta,GA,-84.334602,33.770199
