Show_ID,Performing,date,time,genre,venue,city,state,long,lat
153,Automatic,2023-12-14,20:00:00,Other,Music Hall of Williamsburg,Brooklyn,NY,-73.956497,40.711102
154,New York Voices,2023-12-14,20:00:00,Blues,Ridgefield Playhouse,Ridgefield,CT,-73.502403,41.3064
155,Two Minutes To Late Night,2023-12-14,20:00:00,Metal,Gramercy Theatre,New York,NY,-73.98501292,40.73975368
156,Samara Joy: A Joyful Holiday,2023-12-14,20:00:00,Jazz,Apollo Theater,New York,NY,-73.95013312,40.80986245
157,WDHA's Naughty or Nice Ball with Bret Michaels,2023-12-14,20:00:00,Rock,Bergen Performing Arts Center,Englewood,NJ,-73.97511,40.895358
158,Its Beginning To Look A Lot Like Alaska ..A Christmas Show,2023-12-14,20:00:00,Rock,Town Hall,New York,NY,-73.98447747,40.75599205
159,Madonna - The Celebration Tour,2023-12-14,20:30:00,Rock,Barclays Center,Brooklyn,NY,-73.97519,40.68285
160,"Golder, circuit y, Who Shot Lulu",2023-12-14,21:00:00,Pop,Mercury Lounge,New York,NY,-73.986806,40.722036
161,Dogs In A Pile 2day Pass,2023-12-15,21:00:00,Rock,The Stone Pony,Asbury Park,NJ,-74.00071097,40.220001
162,Casey Neill,2023-12-15,18:00:00,Rock,Mercury Lounge,New York,NY,-73.986806,40.722036
163,In Love and Struggle,2023-12-15,19:00:00,Theatre,Minetta Lane Theatre,New York,NY,-74.0012676,40.7303577
164,We Are Scientists,2023-12-15,19:00:00,Rock,Bowery Ballroom,New York,NY,-73.993542,40.720364
165,Dogs In A Pile,2023-12-15,19:00:00,Rock,The Stone Pony,Asbury Park,NJ,-74.00071097,40.220001
166,Promised Land,2023-12-15,19:00:00,Rock,The Wonder Bar,Asbury Park,NJ,-73.99950139,40.22328639
167,Universal Temple of the Arts Staten Island JAZZ Festival 35,2023-12-15,19:00:00,Jazz,St. George Theatre,Staten Island,NY,-74.077484,40.6422839
168,Choir! Choir! Choir! - DREAMS - An Epic Fleetwood Mac Sing-Along,2023-12-15,19:00:00,Rock,Irving Plaza Powered By Verizon 5G,New York,NY,-73.9884469,40.734917
169,Duel Of The Decades: 80's Vs 90's,2023-12-15,19:00:00,Undefined,The Wellmont Theater,Montclair,NJ,-74.2165153,40.8124988
170,Bobby Weir & Wolf Bros Featuring The Wolfpack,2023-12-15,19:30:00,Rock,The Capitol Theatre,Port Chester,NY,-73.6654488,41.0013461
171,Ingrid Michaelson,2023-12-15,19:30:00,Country,Webster Hall,New York,NY,-73.989098,40.731602
